"song","artist","playlist","acousticness","danceability","energy","loudness","tempo","valence"
"Life Is Good (feat. Drake)","Future","Beats & Rhymes",0.0706,0.676,0.609,-5.831,142.037,0.508
"Far From Home","Swanky Tunes","Dance Hits",0.0132,0.578,0.939,-3.872,125.071,0.471
"Unstoppable","New Politics","Rock This",0.00683,0.545,0.899,-4.276,170.128,0.593
"Love Me More","Trippie Redd","Beats & Rhymes",0.22,0.638,0.539,-5.853,83.381,0.247
"Renaissance Man","Jay Park","Beats & Rhymes",0.0534,0.796,0.726,-6.173,160.011,0.855
"Essential Attitudes","Peals","Deep Focus",0.449,0.444,0.497,-12.601,99.093,0.25
"Under the Graveyard","Ozzy Osbourne","Rock This",0.00151,0.496,0.88,-2.242,140.009,0.148
"Back Foot","Dinosaur Pile-Up","Rock This",0.00619,0.547,0.922,-5.845,160.128,0.844
"Piece Of Your Heart","MEDUZA","Dance Hits",0.0404,0.677,0.744,-6.806,124.08,0.631
"The One","W&W","Dance Hits",0.169,0.614,0.922,-3.257,126.025,0.615
"Yatta","Fukase Junichiro","Deep Focus",0.967,0.591,0.101,-27.437,133.324,0.279
"Tomorrow (Give It To The Night/The Tomorrowland Anthem) - Vocal Club Mix","Dimitri Vegas & Like Mike","Dance Hits",0.00322,0.837,0.602,-4.721,126.993,0.0389
"Morro Bay","Lundegard","Deep Focus",0.968,0.645,0.119,-20.521,121.975,0.0505
"Gecko (Overdrive) (with Oliver Heldens) - Radio Edit","Oliver Heldens","Dance Hits",0.00537,0.621,0.878,-5.506,124.965,0.722
"Branch","Keith Kenniff","Deep Focus",0.974,0.443,0.178,-15.435,140.426,0.165
"Loyal (feat. Drake)","PARTYNEXTDOOR","Beats & Rhymes",0.517,0.866,0.53,-6.347,104.952,0.203
"Masollan","Balmorhea","Deep Focus",0.324,0.459,0.325,-13.411,90.817,0.176
"Drifting","Silje Månsson","Deep Focus",0.763,0.245,0.0349,-27.828,84.674,0.039
"STAR CITY","Xuede","Beats & Rhymes",0.215,0.7,0.62,-8.036,134.987,0.368
"On A Good Day - Above & Beyond Radio Edit","Oceanlab","Dance Hits",0.0379,0.6,0.774,-7.243,136.007,0.8
"Lonely Molecule","MVS","Deep Focus",0.815,0.444,0.145,-18.403,100.119,0.0552
"original me (feat. dan reynolds of imagine dragons)","YUNGBLUD","Rock This",0.00888,0.471,0.786,-5.24,160.01,0.61
"The Discovery","Sulfur Springs","Deep Focus",0.827,0.414,0.127,-22.097,130.021,0.0354
"Follow God","Kanye West","Beats & Rhymes",0.000248,0.529,0.9,-3.503,180.291,0.434
"Sexy Bitch (feat. Akon)","David Guetta","Dance Hits",0.076,0.813,0.627,-5.018,130.011,0.801
"Social Cues","Cage The Elephant","Rock This",0.0119,0.668,0.913,-3.097,132.039,0.933
"VIBEZ","DaBaby","Beats & Rhymes",0.113,0.768,0.652,-2.708,154.187,0.777
"Dawning","Light of Sun","Deep Focus",0.64,0.526,0.471,-11.965,119.972,0.286
"I Need You (feat. Olaf Blackwood) - Club Mix","Armin van Buuren","Dance Hits",0.0042,0.583,0.934,-6.177,127.947,0.153
"You Gotta Keep Moving","Airwaves","Deep Focus",0.257,0.571,0.553,-8.365,120.005,0.063
"Light in the Fog","Night Sounds","Deep Focus",0.0701,0.414,0.526,-13.766,171.999,0.0377
"Kaolnite","Burgundy Skies","Deep Focus",0.622,0.247,0.231,-19.639,174.014,0.0485
"Collapse Into Light","Evin Iris","Deep Focus",0.933,0.305,0.229,-18.329,121.599,0.0562
"What's In The Eye","Grey Daze","Rock This",0.098,0.424,0.871,-3.731,159.887,0.418
"Freaks - Radio Edit","Timmy Trumpet","Dance Hits",0.0136,0.882,0.965,-0.818,128.129,0.759
"History of Violence","Theory of a Deadman","Rock This",0.0536,0.587,0.821,-5.041,81.985,0.616
"Mad Blessings","Yung Raja","Beats & Rhymes",0.253,0.813,0.483,-8.895,93.035,0.473
"MANIFEST","STARSET","Rock This",0.000191,0.531,0.874,-5.939,147.948,0.489
"Observations From A Faraway Place","Rannar Sillard","Deep Focus",0.826,0.176,0.117,-22.34,76.125,0.142
"Come Thru","Zero 9:36","Rock This",0.0247,0.613,0.86,-4.065,93.042,0.638
"Late Night","ODESZA","Dance Hits",0.0358,0.612,0.628,-6.754,125.043,0.434
"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone","Rock This",0.102,0.495,0.811,-2.649,139.925,0.241
"Stars Troll - Radio Edit","Kaskade","Dance Hits",0.00779,0.511,0.917,-4.947,127.984,0.183
"Revealing The Unreal","Ave Air","Deep Focus",0.982,0.18,0.0311,-24.427,119.501,0.0353
"Ludens","Bring Me The Horizon","Rock This",0.000551,0.295,0.679,-6.182,197.964,0.381
"Rain","Armin van Buuren","Dance Hits",0.000159,0.628,0.634,-11.48,134.986,0.378
"Somewhere New - Radio Edit","Klingande","Dance Hits",0.000341,0.681,0.648,-5.995,124.068,0.317
"Reply (feat. Lil Uzi Vert)","A Boogie Wit da Hoodie","Beats & Rhymes",0.0187,0.512,0.623,-6.553,112.15,0.219
"Give me the Night","Des Rocs","Rock This",0.00102,0.626,0.884,-4.53,109.994,0.758
"This Land","Gary Clark Jr.","Rock This",0.019,0.506,0.921,-2.967,82.033,0.279
"I Wanna Rock (feat. Gunna)","G-Eazy","Beats & Rhymes",0.00718,0.772,0.847,-3.789,100.013,0.704
"VALENTINO","24kGoldn","Beats & Rhymes",0.197,0.745,0.718,-4.853,151.097,0.539
"Understudy","Josie Mehlin","Deep Focus",0.983,0.494,0.263,-16.816,159.873,0.105
"You","Galantis","Dance Hits",0.00837,0.184,0.871,-3.245,127.972,0.21
"Might Be Right","White Reaper","Rock This",0.00222,0.595,0.86,-3.897,131.99,0.891
"My Honest Face","Inhaler","Rock This",0.000498,0.414,0.949,-6.038,159.999,0.46
"Cash Machine","Oliver Tree","Rock This",0.0188,0.424,0.625,-6.863,200.642,0.518
"Schloss","Elmau Dunkel","Deep Focus",0.968,0.438,0.073,-21.944,79.973,0.0668
"We Are Forever","They Dream By Day","Deep Focus",0.976,0.463,0.192,-18.888,114.133,0.066
"UP THE SMOKE (with Offset)","Stunna 4 Vegas","Beats & Rhymes",0.0512,0.907,0.765,-7.043,142.992,0.896
"Gimme The Keys","A. Nayaka","Beats & Rhymes",0.234,0.752,0.704,-4.473,139.058,0.578
"OUT WEST (feat. Young Thug)","JACKBOYS","Beats & Rhymes",0.0104,0.802,0.591,-4.895,139.864,0.309
"Finesse","Reckless Escapades","Beats & Rhymes",0.0409,0.877,0.628,-8.545,130.038,0.561
"Like Lightning","Foals","Rock This",0.0414,0.55,0.779,-4.151,100.31,0.548
"Mother Machine","Demob Happy","Rock This",0.00416,0.298,0.677,-8.85,129.397,0.344
"Ingénue","Eline Moss","Deep Focus",0.993,0.283,0.122,-23.074,83.746,0.112
"Farnley Lane","The Sleepwalkers","Deep Focus",0.926,0.202,0.0374,-24.547,71.223,0.0656
"Pale Lights (Dark Dark Horse Remix)","Dark Dark Horse","Deep Focus",0.721,0.574,0.367,-14.744,115.995,0.0605
"Sleepwalking","Toledo Rains","Deep Focus",0.592,0.41,0.0673,-21.632,106.987,0.0614
"Riverside (Reloaded)","Tujamo","Dance Hits",0.0286,0.884,0.929,-4.303,125.976,0.29
"Closer To The Sky","The Glorious Sons","Rock This",0.003,0.629,0.881,-4.525,93.933,0.454
"Written In Reverse","Tiësto","Dance Hits",0.00446,0.473,0.765,-3.427,129.989,0.271
"Hurricane","I Prevail","Rock This",0.000372,0.389,0.885,-5.063,164.989,0.187
"Anywhere","Sigma","Dance Hits",0.0162,0.717,0.872,-3.279,120.026,0.61
"Waiting For Sundown","Monocle Twins","Deep Focus",0.975,0.419,0.305,-14.428,168.166,0.0767
"Leave It All Behind","Sleeping With Sirens","Rock This",0.00402,0.555,0.925,-4.008,97.495,0.308
"Bandit (with YoungBoy Never Broke Again)","Juice WRLD","Beats & Rhymes",0.0687,0.474,0.631,-5.884,180.051,0.425
"IDKW (with Shenseea & Swae Lee feat. Young Thug)","Rvssian","Beats & Rhymes",0.0508,0.682,0.722,-4.138,95.017,0.566
"Big Booty (feat. Megan Thee Stallion)","Gucci Mane","Beats & Rhymes",0.0306,0.821,0.767,-3.892,159.994,0.436
"NOMAD","The Great Singapore Replay","Beats & Rhymes",0.065,0.697,0.66,-7.657,139.854,0.55
"Tip Toe (feat. A Boogie Wit da Hoodie)","Roddy Ricch","Beats & Rhymes",0.095,0.757,0.673,-8.513,92.958,0.574
"Woah","Lil Baby","Beats & Rhymes",0.0177,0.882,0.602,-5.554,142.959,0.43
"On The Road (feat. Meek Mill & Lil Baby)","Post Malone","Beats & Rhymes",0.0589,0.442,0.737,-5.046,112.93,0.21
"The Jester","Badflower","Rock This",0.00708,0.51,0.827,-6.013,92.92,0.338
"Brazil - 2nd Edit","deadmau5","Dance Hits",0.00409,0.562,0.624,-8.842,128.012,0.174
"Infinite Sustain","Amaranth Cove","Deep Focus",0.8,0.529,0.214,-19.268,124.069,0.0903
"17","MK","Dance Hits",0.00149,0.703,0.832,-7.202,122.029,0.667
"Beautiful Heartbeat","MORTEN","Dance Hits",0.156,0.32,0.575,-8.597,78.306,0.12
"Out Of Your Mind (feat. Swae Lee & Chris Brown)","French Montana","Beats & Rhymes",0.0229,0.718,0.882,-4.677,95.005,0.611
"I Really Wish I Hated You","blink-182","Rock This",0.0358,0.615,0.81,-6.137,143.054,0.728
"Immortal","21 Savage","Beats & Rhymes",0.00813,0.741,0.87,-3.494,184.194,0.663
"BUSSIT (with Ari Lennox)","Dreamville","Beats & Rhymes",0.216,0.796,0.562,-6.421,144.945,0.495
"Nothing It Can","Helios","Deep Focus",0.779,0.181,0.245,-12.333,109.007,0.0366
"Massacre, The New American Dream","Palaye Royale","Rock This",0.000577,0.397,0.966,-4.957,167.868,0.375
"why u look mad","Lil Tecca","Beats & Rhymes",0.115,0.758,0.638,-6.923,135.042,0.456
"California - Chris Lake & Matroda Remix","SNBRN","Dance Hits",0.0226,0.783,0.81,-4.041,124.028,0.38
"We Are The Night","Madison Mars","Dance Hits",0.0438,0.594,0.901,-1.951,125.995,0.493
"Resentment","A Day To Remember","Rock This",8.63e-05,0.512,0.952,-3.285,122.988,0.17
"Rockstar","YONAKA","Rock This",0.0135,0.482,0.881,-3.707,128.133,0.296
"Mars","Stratospheric","Deep Focus",0.912,0.484,0.132,-21.061,100.027,0.0854
"Waiting like the Storm","Rand Aldo","Deep Focus",0.946,0.162,0.0564,-20.696,60.01,0.0361
"Chasing Love","Mondbery","Deep Focus",0.97,0.28,0.0966,-25.846,94.254,0.112
"Up All Night","Breathe Carolina","Dance Hits",8.07e-05,0.499,0.849,-3.58,144.901,0.534
"TITANIC (feat. Rich Brian)","Jackson Wang","Beats & Rhymes",0.0463,0.894,0.748,-8.22,99.983,0.697
"She Miss Me (feat. Rich the Kid)","Gucci Mane","Beats & Rhymes",0.046,0.724,0.509,-6.213,163.239,0.215
"Alors On Danse - Radio Edit","Stromae","Dance Hits",0.0968,0.799,0.634,-7.899,119.967,0.74
"Shakin' Off The Rust","The Blue Stones","Rock This",0.0017,0.585,0.8,-6.094,110.971,0.368
"Under The Wind","The Tides","Deep Focus",0.834,0.253,0.203,-16.256,59.99,0.147
"Cotton Spheres","Lama House","Deep Focus",0.912,0.33,0.395,-13.337,112.799,0.0398
"Strangers","Seven Lions","Dance Hits",0.0142,0.577,0.697,-7.429,129.978,0.489
"Popular Monster","Falling In Reverse","Rock This",0.00821,0.461,0.897,-3.982,165.107,0.358
"Clear Language","Balmorhea","Deep Focus",0.956,0.397,0.0767,-15.786,122.626,0.0365
"God's Gonna Cut You Down","Marilyn Manson","Rock This",0.139,0.504,0.754,-5.182,82.009,0.583
"The Violence","Asking Alexandria","Rock This",0.00618,0.646,0.851,-4.22,129.918,0.333
"Panini - DaBaby Remix","Lil Nas X","Beats & Rhymes",0.22,0.717,0.598,-5.613,153.905,0.496
"Hiking","David Wingo","Deep Focus",0.559,0.497,0.15,-18.159,77.649,0.385
"BEST ON EARTH (feat. BIA)","Russ","Beats & Rhymes",0.217,0.568,0.764,-3.465,179.985,0.625
"Would You Ever","Skrillex","Dance Hits",0.0079,0.653,0.91,-3.36,126.047,0.0921
"Westside","Flipp Dinero","Beats & Rhymes",0.0571,0.812,0.707,-5.014,179.971,0.45
"Doppelgang","Zelijah","Beats & Rhymes",0.0894,0.852,0.674,-6.136,102.994,0.44
"Unsainted","Slipknot","Rock This",0.000197,0.427,0.944,-2.885,101.078,0.248
"All Four Walls","Gorgon City","Dance Hits",0.0111,0.552,0.837,-6.246,123.951,0.771
"U Played (feat. Lil Baby)","Moneybagg Yo","Beats & Rhymes",0.00284,0.877,0.837,-3.549,134.962,0.853
"why are you here","Machine Gun Kelly","Rock This",0.00607,0.559,0.889,-3.995,129.063,0.628
"The Disease","Anti-Flag","Rock This",8.15e-05,0.573,0.927,-4.905,124.944,0.583
"Rhythm Is A Dancer","Breathe Carolina","Dance Hits",0.0531,0.618,0.885,-1.943,125.984,0.554
"Chains","Nigel Sparks","Beats & Rhymes",0.174,0.708,0.763,-5.364,78.694,0.502
"The Return Home","Daniel Kadawatha","Deep Focus",0.906,0.127,0.215,-19.073,88.382,0.0541
"Body","Loud Luxury","Dance Hits",0.0476,0.752,0.764,-4.399,121.958,0.582
"All Day And Night - Jax Jones & Martin Solveig Present Europa","Jax Jones","Dance Hits",0.269,0.585,0.782,-4.101,121.908,0.521
"Presence","Van Stiles","Deep Focus",0.966,0.616,0.292,-16.837,127.008,0.0633
"Atlavík","Hugar","Deep Focus",0.867,0.535,0.147,-25.141,126.823,0.238
"Bang Bang","YNW Melly","Beats & Rhymes",0.156,0.657,0.522,-7.632,179.687,0.442
"Crystal Shores","Dean Valio","Deep Focus",0.958,0.482,0.0257,-26.303,109.98,0.144
"If I Lose Myself - Alesso vs OneRepublic","OneRepublic","Dance Hits",0.198,0.518,0.829,-3.322,125.991,0.149
"Hop Off A Jet (feat. Travis Scott)","Young Thug","Beats & Rhymes",0.0115,0.823,0.476,-8.951,144.998,0.353
"Blow Me","The Used","Rock This",0.000361,0.385,0.951,-3.09,89.838,0.423
"Desensitize","DREAMERS","Rock This",0.0066,0.521,0.989,-2.386,101.02,0.361
"Juicy","Doja Cat","Beats & Rhymes",0.0856,0.786,0.658,-2.61,170.037,0.458
"Gasoline","Whiskey Myers","Rock This",0.00105,0.517,0.904,-4.234,127.049,0.529
"Jackie Chan","Tiësto","Dance Hits",0.339,0.742,0.838,-2.758,128.022,0.694
"Waves - Robin Schulz Radio Edit","Mr. Probz","Dance Hits",0.00821,0.829,0.51,-9.334,119.993,0.45
"You Tried It","City Girls","Beats & Rhymes",0.025,0.854,0.728,-4.01,94.907,0.616
"Futsal Shuffle 2020","Lil Uzi Vert","Beats & Rhymes",0.0327,0.881,0.457,-8.191,136.97,0.296
"Found","Martin Gauffin","Deep Focus",0.901,0.517,0.397,-14.281,100.005,0.195
"First Time","M-22","Dance Hits",0.00449,0.705,0.838,-3.69,124.03,0.219
"Happy Pill","grandson","Rock This",0.000816,0.666,0.785,-6.559,136.025,0.654
"Long Time (feat. Andreas Moe) [Original Mix]","John De Sohn","Dance Hits",0.000696,0.6,0.888,-6.281,128.009,0.279
"What I Please (feat. Denzel Curry)","Smokepurpp","Beats & Rhymes",0.0352,0.803,0.709,-8.164,139.877,0.54
"Dancin (feat. Luvli) - Krono Remix","Aaron Smith","Dance Hits",0.101,0.72,0.741,-6.529,119.896,0.357
"Sing Along","Sturgill Simpson","Rock This",0.0115,0.489,0.957,-2.812,124.026,0.53
"Calm Wilderness","Night Sounds","Deep Focus",0.886,0.186,0.271,-17.149,115.896,0.0684
"Rolling 7s","Dirty Honey","Rock This",0.000943,0.582,0.764,-4.556,95.102,0.406
"Like Home","Nicky Romero","Dance Hits",0.116,0.576,0.887,-2.817,127.914,0.224
"Stay","Kygo","Dance Hits",0.0444,0.648,0.736,-7.948,103.027,0.378
"A Sky Full of Stars","Coldplay","Dance Hits",0.00713,0.551,0.636,-7.125,124.996,0.153
"Money Talk","Rich The Kid","Beats & Rhymes",0.0313,0.804,0.641,-6.2,154.967,0.576
"Ordinary Man (feat. Elton John)","Ozzy Osbourne","Rock This",0.0665,0.428,0.599,-2.135,125.83,0.134
"Scumbag (feat. blink-182)","Goody Grace","Rock This",0.073,0.418,0.602,-6.56,172.175,0.218
"Water Colors","Star Slide","Deep Focus",0.633,0.465,0.12,-19.328,72.021,0.0659
"Dig","Arrested Youth","Rock This",0.0316,0.595,0.928,-4.825,145.068,0.72
"The Best","AWOLNATION","Rock This",0.115,0.639,0.86,-5.074,110.997,0.0532
"Foveaux Strait","Ensemble Rivr Dane","Deep Focus",0.337,0.149,0.196,-17.93,104.64,0.0308
"Sun & Moon (feat. Richard Bedford) - Radio Edit","Above & Beyond","Dance Hits",0.0455,0.586,0.751,-4.974,133.792,0.332
"Bob Dylan","Fall Out Boy","Rock This",0.000353,0.494,0.915,-3.623,100.08,0.522
"You Have Done Well","They Dream By Day","Deep Focus",0.977,0.208,0.132,-16.223,125.245,0.0822
"Easy - Radio Edit","Mat Zo","Dance Hits",0.00551,0.505,0.893,-4.673,127.988,0.29
"The End of the Game","Weezer","Rock This",0.00121,0.574,0.865,-4.028,119.068,0.669
"16","Highly Suspect","Rock This",0.00102,0.644,0.627,-5.226,91.971,0.188
"Famous Hoes","NLE Choppa","Beats & Rhymes",0.346,0.732,0.627,-5.693,81.481,0.332
"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug","Beats & Rhymes",0.188,0.845,0.631,-8.206,111.983,0.545
"Let Me Know (I Wonder Why Freestyle)","Juice WRLD","Beats & Rhymes",0.172,0.635,0.537,-7.895,125.028,0.383
"Opie Taylor","Yelawolf","Rock This",0.00356,0.802,0.706,-7.774,96.02,0.736
"Reason - Radio Edit","NERVO","Dance Hits",0.117,0.536,0.883,-2.019,128.018,0.439
"Body Dancing","Qulinez","Dance Hits",0.00321,0.571,0.876,-7.403,128.005,0.319
"Juvenile","The Blaze","Dance Hits",0.00393,0.63,0.554,-9.675,127.013,0.119
"Clovelly Dreams","Zero Mileage","Deep Focus",0.286,0.478,0.305,-14.726,137.965,0.0701
"Oh Yeah!","Green Day","Rock This",7e-05,0.623,0.792,-6.37,127.041,0.584
"Routine (feat. Rick Ross & Meek Mill)","Wale","Beats & Rhymes",0.0796,0.74,0.712,-7.188,146.315,0.652
"Let's Go (feat. Ne-Yo)","Calvin Harris","Dance Hits",0.00777,0.71,0.882,-2.932,128.016,0.875
"Red Gold Yesterday","LUCHS","Deep Focus",0.878,0.372,0.233,-20.704,96.086,0.171
"candy choppa","warrenisyellow","Beats & Rhymes",0.401,0.939,0.48,-8.162,119.975,0.849
"Coda","Jakob Ahlbom","Deep Focus",0.93,0.351,0.24,-15.363,79.919,0.0968
"In Collusion with the Waves","Seas of Years","Deep Focus",0.818,0.242,0.299,-15.207,105.01,0.0378
"The World Is Yours","Masiwei","Beats & Rhymes",0.326,0.724,0.753,-2.471,135.027,0.643
"All Around The World (La La La)","R3HAB","Dance Hits",0.479,0.733,0.859,-5.03,124.948,0.52
"Break My Baby","KALEO","Rock This",0.109,0.529,0.748,-3.922,74.02,0.408
"Hey Hey - Radio Edit","Dennis Ferrer","Dance Hits",0.0433,0.728,0.868,-5.446,126.022,0.921
"Soft Upon Your Face","Ave Air","Deep Focus",0.957,0.189,0.0854,-22.918,161.119,0.0363
"VOODOO","YETI PACK","Beats & Rhymes",0.251,0.822,0.662,-8.888,145.057,0.617
"Event Horizon","Airwaves","Deep Focus",0.0665,0.464,0.38,-8.052,100.006,0.0558
"Come On","Mondo Cozmo","Rock This",5.14e-06,0.225,0.727,-3.78,171.83,0.365
"Entirety","Bon Vie","Deep Focus",0.463,0.171,0.384,-11.735,90.022,0.0386
"Underwater","RÜFÜS DU SOL","Dance Hits",0.019,0.611,0.809,-6.63,118.003,0.428
"The Powers Of The Universe","Of Water","Deep Focus",0.238,0.189,0.521,-9.698,169.336,0.0947
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Kygo","Dance Hits",0.381,0.591,0.705,-6.519,121.799,0.27
"The Spark - Tiësto vs twoloud Remix","Afrojack","Dance Hits",0.0072,0.653,0.886,-4.979,128.017,0.35
"Peta (feat. Meek Mill)","Roddy Ricch","Beats & Rhymes",0.015,0.778,0.573,-7.339,140.114,0.269
"Sticks Like Wukong","Dave from Work","Beats & Rhymes",0.33,0.826,0.819,-3.526,75.023,0.442
"Any Given Place","Of Water","Deep Focus",0.0942,0.283,0.415,-7.382,141.241,0.068
